,PARTICIPANT_ID,DEVICE,SCREEN_W,SCREEN_H,AGE,GENDER,HAS_TAKEN_TYPING_COURSE,LAYOUT,WPM,ERROR_RATE,NATIVE_LANGUAGE,KEYBOARD_TYPE,USING_APP,USING_FEATURES,FINGERS,TIME_SPENT_TYPING,TYPE_ENGLISH,P_KPD,P_IKI,P_BSP,P_ECPC,P_UILEN,P_KSPC,ITE_SWYPE,ITE_PREDICT,ITE_AUTOCORR
1,632,mobile,360,640,24,male,0,qwerty,30.5151638756904,1.68539325842697,ta,add-on,Touchpal,"""[\autocorrection\""""]""""""",right_hand;index_fingers,8,usually,14.406203324066700,199.7382594887730,1,0.0237839810253603,47.133333333,1.32254659493333,0.05470899470899470,0.13472462722462700,0.015000000000000000
2,669,mobile,601,962,16,female,0,qwerty,21.4279807282941,0.0,ur,tablet,FALSE,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,1,usually,22.4158537892,168.12358146437600,0,0.0,38.2,1.12723905386667,0.09288600288600290,0.09963203463203460,0.051430976430976400
20,842,mobile,375,667,27,female,0,qwerty,24.448395847862,2.75387263339071,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;other,0,,25.549109768066700,157.7624331783550,1.9333333333333300,0.0544691477447215,38.2,0.995557461266667,0.01619047619047620,0.09835978835978840,0.030740740740740700
29,997,mobile,375,667,27,female,0,qwerty,30.1722690486585,2.28013029315961,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,always,26.029298553066700,159.97459159057900,2.7333333333333300,0.0694844612856197,40.933333333,1.0764285586,0,0.04515873015873020,0.07637566137566140
35,1061,mobile,768,1024,52,female,0,qwerty,16.90869169682,1.71606864274571,en,tablet,notsure,"""[\no\""""]""""""",right_hand;middle_fingers,1,,21.912133267933300,175.52763976719400,0.7333333333333330,0.022908811618489,42.2,1.02251481953333,0,0.02222222222222220,0.026296296296296300
39,1119,mobile,375,667,53,female,0,qwerty,29.2226715160277,1.08303249097473,en,mobile,FALSE,"""[\prediction\"""""",""\""""autocorrection\""""]""""""",right_hand;index_fingers,1,,18.544193406600000,262.71683522296700,0.6,0.0196474666948243,36.933333333,0.967430117,0,0.0347089947089947,0.03915343915343920
40,1155,mobile,768,1024,26,female,0,qwerty,41.8598566881295,0.202020202020202,en,tablet,notsure,"""[\autocorrection\""""]""""""",right_hand;index_fingers,3,,48.26935620546670,278.7841941658030,2.4,0.110144806460596,33.0,1.217478479,0,0.02074074074074070,0.14126984126984100
51,1310,mobile,360,640,42,male,0,qwerty,23.5056708832377,2.15384615384615,en,mobile,FALSE,"""[\prediction\""""]""""""",right_hand;index_fingers,20,,17.5837061242,135.23762854100300,0,0.0,42.933333333,0.926439628133333,0,0.20681818181818200,0.03507936507936510
58,1438,mobile,375,667,20,female,0,qwerty,27.2374020847468,1.74825174825175,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;index_fingers,2,,23.392161234,263.3090331351290,1.6,0.0517738620558966,37.8,1.0001886978,0.016666666666666700,0.14584896584896600,0.05997354497354500
61,1462,mobile,375,667,20,female,0,qwerty,30.3411189927098,0.845070422535211,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;other,1,,22.753300008066700,112.85524898694400,0.9333333333333330,0.0171896276703361,47.266666666,0.9166210648,0.006060606060606060,0.11539016539016500,0.07152939652939650
64,1498,mobile,375,667,20,female,1,qwerty,38.0772165965252,1.50273224043716,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,20.44093403873330,132.0284944591290,0.9333333333333330,0.0167360951204706,48.4,0.960811480733333,0,0.0834928034928035,0.046957671957672000
66,1522,mobile,375,667,20,female,1,qwerty,38.358417633029,0.995024875621891,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,20.9660037674,181.76712054272400,0.4,0.008641245972073,39.866666666,0.9423597602,0,0.056426906426906400,0.05497668997669000
68,1556,mobile,375,667,20,female,0,qwerty,34.4224901501911,0.838926174496644,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,21.59267703373330,115.57104887971200,0.5333333333333330,0.0165524783470286,39.733333333,0.966004758066667,0,0.03277777777777780,0.09619047619047620
70,1653,mobile,375,667,20,female,0,qwerty,37.368437016591294,2.35109717868339,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,21.305946223200000,73.77492869767370,0.8666666666666670,0.0219767707222011,42.066666666,1.00757014313333,0,0.055181115181115200,0.12189088689088700
77,1740,mobile,375,667,20,female,0,qwerty,37.4539314039147,2.02702702702703,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,20.227212932000000,80.44694016686050,0.8,0.013498226440418,48.933333333,0.982257424266667,0.007407407407407410,0.03537037037037040,0.11452380952381000
83,1811,mobile,375,667,21,female,0,qwerty,50.9578019220925,0.496688741721854,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,5,,16.499319399133300,80.29245355856580,4.2,0.123246212826501,40.266666666,1.2368418396,0,0,0.14865079365079400
105,2165,mobile,360,640,31,female,1,qwerty,32.159797164227,2.39968528717545,en,mobile,notsure,"""[\swipe\"""""",""\""""prediction\"""""",""\""""autocorrection\"""""",""\""""notsure\""""]""""""",right_hand;thumbs,6,always,13.568795480133300,77.27863101825530,0,0.0,42.733333333,1.1089317,0.35404761904761900,0.20665926665926700,0.025637325637325600
107,2171,mobile,320,568,18,female,0,qwerty,30.6939074332517,5.25423728813559,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,24,,30.65396682653330,91.04276733521260,4,0.101904042302696,38.266666666,1.15756324366667,0.02738095238095240,0.059788359788359800,0.017857142857142900
117,2352,mobile,1024,768,17,female,0,qwerty,44.106291632777,2.18579234972678,la,tablet,FALSE,"""[\no\""""]""""""",right_hand;other-nfingers;,6,always,15.318759972133300,101.98170843695700,1.8,0.0405471049669177,48.6,1.1051074044,0,0.006666666666666670,0.055079365079365100
131,2451,mobile,360,740,24,female,0,qwerty,19.3533522770909,3.61067503924647,en,mobile,FALSE,"""[\no\""""]""""""",right_hand;thumbs,1,,17.286473137133300,103.66699142995600,0.9333333333333330,0.0137993920972644,41.6,1.2043996228,0.03247863247863250,0.19576146076146100,0.006666666666666670
133,2462,mobile,601,962,32,female,0,qwerty,27.0697575883592,1.1844331641286,en,mobile,FALSE,"""[\swipe\""""]""""""",right_hand;thumbs,1,,16.034017495,90.4687082904904,2.1333333333333300,0.05252210758425,39.333333333,1.1128950012,0.016666666666666700,0.04636752136752140,0
141,2568,mobile,414,736,19,female,0,qwerty,31.4404960962701,2.60162601626016,en,mobile,FALSE,"""[\notsure\""""]""""""",right_hand;thumbs,10,always,22.312961004800000,193.99362437953200,2.6,0.0758623376729546,40.8,1.07568240346667,0,0.08069023569023570,0.06397306397306400
157,2797,mobile,320,568,20,female,0,qwerty,30.8102231137926,3.81679389312977,en,mobile,FALSE,"""[\prediction\""""]""""""",left_hand;thumbs,5,always,46.282893582133300,127.76143742743200,3.8,0.137293032347575,34.533333333,1.13944994766667,0.008333333333333330,0.16836219336219300,0.06220057720057720
