,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
'f',0.0,0.0,0.0,0.2,0.27999999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,3.7199999999850064,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999997,0.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'w',0.1,4.279999999990682,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'e',0.0,0.1,4.249999999990614,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.1,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'j',0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.15000000000000002,0.31999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10999999998475,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.25,0.28999999999999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'z',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.27999999999999997,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999986,4.209999999984912,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.27999999999999975,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'x',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.2,0.2799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.7399999999848217,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2799999999999997,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0
'i',0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,4.229999999990443,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999975,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
't',0.0,0.0,0.0,0.27999999999999997,4.289999999990669,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999,0.15000000000000002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'r',0.0,0.0,0.1,4.289999999990351,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.31999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'o',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,4.259999999990541,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.27999999999999997,0.27999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
