subject_id,block,sentence_n,trialtime,x,y
0,0,2,525.5745,0,1
0,0,2,821.5133,0,2
0,0,2,1288.5865,3,5
0,0,2,1677.4418,1,6
0,0,2,2500.257,1,1
0,0,2,2963.0826,2,5
0,0,2,3624.5886,0,2
0,0,2,4091.6618,3,5
0,0,2,4566.7801,1,9
0,0,2,4916.984,0,8
0,0,2,5445.1602,1,2
0,0,2,6051.5221,0,4
0,0,2,6478.5482,3,5
0,0,2,7084.9879,2,7
0,0,2,7908.0017,0,8
0,0,2,8366.4095,0,4
0,0,2,9153.1046,3,5
0,0,2,9784.4537,1,7
0,0,2,10352.2104,0,6
0,0,2,10815.0359,1,2
0,0,2,11203.8912,0,4
0,0,2,11630.9173,3,5
0,0,2,12082.628,1,1
0,0,2,12557.7463,3,5
0,0,2,12936.0747,1,5
0,0,2,13542.3838,0,3
0,0,2,13870.2653,0,2
0,0,2,14218.9108,1,1
0,0,2,15220.0655,0,4
0,0,2,15864.5454,3,5
0,0,2,16253.4007,1,4
0,0,2,16603.6046,0,3
0,0,2,17279.4662,0,7
0,0,2,17772.5853,0,2
0,0,2,18278.4405,2,7
0,0,2,18741.266,1,3
0,0,2,19276.9766,3,9
0,1,2,420.6407,0,7
0,1,2,1427.0013,3,5
0,1,2,1840.7643,1,3
0,1,2,2554.6417,0,8
0,1,2,3021.7149,3,5
0,1,2,3410.5702,2,7
0,1,2,4233.7259,0,8
0,1,2,4692.1338,0,4
0,1,2,5119.1599,3,5
0,1,2,5612.2789,0,1
0,1,2,6374.175,1,1
0,1,2,6902.3512,2,7
0,1,2,7676.0195,0,4
0,1,2,8320.4994,3,5
0,1,2,8747.5254,0,4
0,1,2,9551.7658,0,8
0,1,2,10018.839,3,5
0,1,2,11114.4839,0,3
0,1,2,11442.3654,0,2
0,1,2,12216.1013,1,9
0,1,2,12543.9828,0,9
0,1,2,13150.381,2,10
0,1,2,13392.3828,2,10
0,1,2,13781.2381,0,9
0,1,2,14337.5048,0,1
0,1,2,14665.3863,0,2
0,1,2,15475.3788,2,10
0,1,2,15717.3806,2,10
0,1,2,16309.9193,0,2
0,1,2,16660.1232,1,1
0,1,2,17087.1493,0,4
0,1,2,17607.3721,3,9
0,2,2,443.9362,0,3
0,2,2,937.0552,0,8
0,2,2,1179.0571,0,8
0,2,2,1506.9386,1,8
0,2,2,1857.1425,0,7
0,2,2,2350.2615,0,2
0,2,2,2817.3347,3,5
0,2,2,3261.2709,1,8
0,2,2,3789.4471,0,2
0,2,2,4450.7849,2,5
0,2,2,5082.1178,0,7
0,2,2,5460.4462,2,7
0,2,2,6066.861,3,5
0,2,2,6510.7971,1,2
0,2,2,6861.001,0,0
0,2,2,7188.8826,0,1
0,2,2,7430.8838,0,1
0,2,2,7672.8857,0,1
0,2,2,7914.8875,0,1
0,2,2,8156.8894,0,1
0,2,2,8885.2738,2,10
0,2,2,9127.2751,2,10
0,2,2,9369.2764,2,10
0,2,2,9611.2777,2,10
0,2,2,9853.2791,2,10
0,2,2,10095.2804,2,10
