subject_id,sentence_n,trialtime,event
0,0,525.5745,pressed key
0,0,821.5133,pressed key
0,0,1288.5865,pressed key
0,0,1677.4418,pressed key
0,0,2500.257,pressed key
0,0,2963.0826,pressed key
0,0,3624.5886,pressed key
0,0,4091.6618,pressed key
0,0,4566.7801,pressed key
0,0,4916.984,pressed key
0,0,5445.1602,pressed key
0,0,6051.5221,pressed key
0,0,6478.5482,pressed key
0,0,7084.9879,pressed key
0,0,7908.0017,pressed key
0,0,8366.4095,pressed key
0,0,9153.1046,pressed key
0,0,9784.4537,pressed key
0,0,10352.2104,pressed key
0,0,10815.0359,pressed key
0,0,11203.8912,pressed key
0,0,11630.9173,pressed key
0,0,12082.628,pressed key
0,0,12557.7463,pressed key
0,0,12936.0747,pressed key
0,0,13542.3838,pressed key
0,0,13870.2653,pressed key
0,0,14218.9108,pressed key
0,0,15220.0655,pressed key
0,0,15864.5454,pressed key
0,0,16253.4007,pressed key
0,0,16603.6046,pressed key
0,0,17279.4662,pressed key
0,0,17772.5853,pressed key
0,0,18278.4405,pressed key
0,0,18741.266,pressed key
0,0,19276.9766,pressed key
0,1,420.6407,pressed key
0,1,1427.0013,pressed key
0,1,1840.7643,pressed key
0,1,2554.6417,pressed key
0,1,3021.7149,pressed key
0,1,3410.5702,pressed key
0,1,4233.7259,pressed key
0,1,4692.1338,pressed key
0,1,5119.1599,pressed key
0,1,5612.2789,pressed key
0,1,6374.175,pressed key
0,1,6902.3512,pressed key
0,1,7676.0195,pressed key
0,1,8320.4994,pressed key
0,1,8747.5254,pressed key
0,1,9551.7658,pressed key
0,1,10018.839,pressed key
0,1,11114.4839,pressed key
0,1,11442.3654,pressed key
0,1,12216.1013,pressed key
0,1,12543.9828,pressed key
0,1,13150.381,pressed key
0,1,13392.3828,pressed key
0,1,13781.2381,pressed key
0,1,14337.5048,pressed key
0,1,14665.3863,pressed key
0,1,15475.3788,pressed key
0,1,15717.3806,pressed key
0,1,16309.9193,pressed key
0,1,16660.1232,pressed key
0,1,17087.1493,pressed key
0,1,17607.3721,pressed key
0,2,443.9362,pressed key
0,2,937.0552,pressed key
0,2,1179.0571,pressed key
0,2,1506.9386,pressed key
0,2,1857.1425,pressed key
0,2,2350.2615,pressed key
0,2,2817.3347,pressed key
0,2,3261.2709,pressed key
0,2,3789.4471,pressed key
0,2,4450.7849,pressed key
0,2,5082.1178,pressed key
0,2,5460.4462,pressed key
0,2,6066.861,pressed key
0,2,6510.7971,pressed key
0,2,6861.001,pressed key
0,2,7188.8826,pressed key
0,2,7430.8838,pressed key
0,2,7672.8857,pressed key
0,2,7914.8875,pressed key
0,2,8156.8894,pressed key
0,2,8885.2738,pressed key
0,2,9127.2751,pressed key
0,2,9369.2764,pressed key
0,2,9611.2777,pressed key
0,2,9853.2791,pressed key
0,2,10095.2804,pressed key
0,2,10714.8867,pressed key
0,2,11260.2422,pressed key
0,2,11723.0677,pressed key
0,2,12354.2845,pressed key
0,2,12860.1397,pressed key
0,2,13544.6493,pressed key
0,2,14037.7683,pressed key
0,2,14780.8167,pressed key
0,2,15169.672,pressed key
0,2,15715.0965,pressed key
0,2,16065.3004,pressed key
0,2,16307.3022,pressed key
0,2,16782.4205,pressed key
0,2,17209.4466,pressed key
0,2,18238.7906,pressed key
0,2,18682.7268,pressed key
0,2,19456.395,pressed key
0,2,19923.4682,pressed key
0,2,20367.4044,pressed key
0,2,20745.7328,pressed key
0,2,21407.2284,pressed key
0,2,22083.0901,pressed key
0,2,22550.1633,pressed key
0,2,22977.1894,pressed key
0,2,23366.0447,pressed key
0,2,24046.324,pressed key
0,2,24947.5388,pressed key
0,2,25391.475,pressed key
0,2,26011.5996,pressed key
0,2,26438.6257,pressed key
0,2,26827.481,pressed key
0,2,27155.3625,pressed key
0,2,27793.4515,pressed key
0,2,28501.3956,pressed key
0,2,28890.2509,pressed key
0,2,29486.0859,pressed key
0,2,29961.2042,pressed key
0,2,30350.0595,pressed key
0,2,30728.3879,pressed key
0,2,31184.5202,pressed key
0,2,31860.3972,pressed key
0,2,32715.6377,pressed key
0,2,33136.2784,pressed key
0,3,443.9362,pressed key
0,3,1077.8241,pressed key
0,3,1540.6497,pressed key
0,3,1868.5312,pressed key
0,3,2196.4127,pressed key
0,3,2524.2942,pressed key
0,3,2852.1757,pressed key
0,3,3327.2939,pressed key
0,3,3988.821,pressed key
0,3,4432.7572,pressed key
0,3,5000.5114,pressed key
0,3,5613.7255,pressed key
0,3,6106.8445,pressed key
0,3,6635.0208,pressed key
0,3,7023.8761,pressed key
0,3,7351.7576,pressed key
0,3,8010.5904,pressed key
0,3,8252.5919,pressed key
0,3,8749.0155,pressed key
0,3,9722.3695,pressed key
0,3,10072.5734,pressed key
0,3,10486.3364,pressed key
0,3,10913.3625,pressed key
0,3,11302.2178,pressed key
0,3,11765.0434,pressed key
0,3,12232.1166,pressed key
0,3,12582.3205,pressed key
0,3,13026.2566,pressed key
0,3,13367.6826,pressed key
0,3,13746.011,pressed key
0,3,14134.8663,pressed key
0,3,14523.7216,pressed key
0,3,14982.1295,pressed key
0,3,15540.5196,pressed key
0,3,15928.9321,pressed key
0,3,16256.8136,pressed key
0,3,16970.807,pressed key
0,3,17212.8089,pressed key
0,3,17619.699,pressed key
0,3,18068.171,pressed key
0,3,18457.0263,pressed key
0,3,18884.0524,pressed key
0,3,19262.3808,pressed key
0,3,19729.454,pressed key
0,3,20156.4801,pressed key
0,3,20614.8879,pressed key
0,3,21387.7347,pressed key
0,4,505.8552,pressed key
0,4,817.2448,pressed key
0,4,1622.0247,pressed key
0,4,2432.1543,pressed key
0,4,2925.2733,pressed key
0,4,3303.6017,pressed key
0,4,3653.8056,pressed key
0,4,4399.5517,pressed key
0,4,4866.6249,pressed key
0,4,5216.8288,pressed key
0,4,5691.9471,pressed key
0,4,6399.965,pressed key
0,4,6826.9911,pressed key
0,4,7899.3031,pressed key
0,4,8313.0661,pressed key
0,4,8701.9214,pressed key
0,4,9195.0404,pressed key
0,4,9875.3828,pressed key
0,4,10319.3189,pressed key
0,4,10786.3922,pressed key
0,4,11261.5104,pressed key
0,4,12066.3608,pressed key
0,4,12416.5647,pressed key
0,4,13022.9795,pressed key
0,4,13667.4072,pressed key
0,4,14111.3434,pressed key
0,4,14500.1987,pressed key
0,4,15095.9809,pressed key
0,4,15474.3093,pressed key
0,4,15932.7171,pressed key
0,4,16491.1073,pressed key
0,4,17026.8179,pressed key
0,4,18035.7739,pressed key
0,5,782.1123,pressed key
0,5,1109.9938,pressed key
0,5,2894.4657,pressed key
0,5,3308.2287,pressed key
0,5,4022.1624,pressed key
0,5,4845.1991,pressed key
