subject_id,sentence_n,trialtime,x,y
0,0,217.5101,0,1
0,0,637.7539,0,1
0,0,1038.8799,3,5
0,0,1505.352,1,6
0,0,1894.9586,-5,2
0,0,2007.138,-5,2
0,0,2224.5046,1,1
0,0,2717.5197,2,5
0,0,3180.6524,-6,2
0,0,3397.8301,0,2
0,0,3841.8679,3,5
0,0,4308.9707,1,9
0,0,4695.1644,1,9
0,0,5134.4906,1,2
0,0,5662.6668,-6,2
0,0,5879.4323,0,4
0,0,6268.605,3,5
0,0,6696.1326,-6,5
0,0,6912.8981,2,7
0,0,7302.5079,-5,5
0,0,7519.1464,-5,3
0,0,7735.9119,0,8
0,0,8125.2461,0,4
0,0,8583.8787,-6,2
0,0,8597.6942,-6,2
0,0,8726.0786,-6,2
0,0,8943.1615,3,5
0,0,9370.6907,-6,4
0,0,9587.6829,1,7
0,0,10002.0064,-6,3
0,0,10130.3908,-6,3
0,0,10569.7204,1,2
0,0,11031.8014,0,4
0,0,11420.9741,3,5
0,0,11848.2262,1,1
0,0,12299.9369,3,5
0,0,12774.3848,1,5
0,0,13153.5285,-5,4
0,0,13370.294,0,3
0,0,13654.5632,0,3
0,0,14087.0308,1,1
0,0,14436.4635,-6,5
0,0,14450.279,-6,5
0,0,14562.4584,-6,5
0,0,14779.2239,-5,3
0,0,14793.0394,-5,3
0,0,15010.1224,0,4
0,0,15437.5193,-6,3
0,0,15654.6023,3,5
0,0,16081.3109,1,4
0,0,16381.785,1,4
0,0,16821.0584,-5,3
0,0,17038.1413,0,7
0,0,17496.8329,0,2
0,0,17989.9869,2,7
0,0,18495.7031,1,3
0,0,18958.786,3,10
0,1,217.5101,0,7
0,1,638.0424,-5,5
0,1,854.6808,-5,3
0,1,983.0651,-5,3
0,1,1200.2428,3,5
0,1,1643.9935,1,3
0,1,2058.2181,-5,4
0,1,2275.5942,0,8
0,1,2771.921,3,5
0,1,3238.4804,2,7
0,1,3628.1051,-5,4
0,1,3844.8706,-6,2
0,1,4061.6361,0,8
0,1,4450.9703,0,4
0,1,4909.2167,3,5
0,1,5336.5265,0,1
0,1,5829.655,-5,2
0,1,6046.2935,-5,4
0,1,6158.4729,-5,4
0,1,6591.7099,2,7
0,1,7119.9039,-5,3
0,1,7232.0833,-5,3
0,1,7449.261,0,4
0,1,7893.4733,-6,5
0,1,8110.5562,3,5
0,1,8537.5823,0,4
0,1,8964.9737,-6,4
0,1,9093.358,-6,4
0,1,9310.6024,0,8
0,1,9769.0452,3,5
0,1,10236.4235,-6,5
0,1,10453.4648,-6,2
0,1,10670.5478,-5,5
0,1,10887.7254,0,3
0,1,11226.6633,0,3
0,1,11659.8346,-6,5
0,1,11877.2828,0,9
0,1,12229.9168,0,9
0,1,12761.5257,-6,4
0,1,12978.2912,2,10
0,1,13164.1965,2,10
0,1,13609.1483,0,9
0,1,13998.7447,0,2
0,1,14351.3203,0,2
0,1,14882.8401,-6,3
0,1,15100.3996,2,10
0,1,15489.1943,2,10
0,1,15934.9401,0,2
0,1,16438.3036,0,2
0,1,16876.7617,0,4
0,1,17304.6407,3,10
0,2,217.5101,0,3
0,2,661.3028,0,8
0,2,950.8707,0,8
0,2,1291.2364,0,8
0,2,1619.1179,0,8
0,2,2074.5907,0,2
